                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.6521,                0.98882,                  1.179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019188,              0.0019188,              0.0019188
                     43,                  1.609,                0.92698,                 1.1335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019168,              0.0019168,              0.0019168
                     44,                 1.6792,                0.98485,                 1.1862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019149,              0.0019149,              0.0019149
                     45,                 1.7089,                0.98138,                 1.1691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019129,              0.0019129,              0.0019129
                     46,                 1.6327,                0.93369,                 1.1594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019109,              0.0019109,              0.0019109
                     47,                 1.6647,                0.98412,                  1.167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019089,              0.0019089,              0.0019089
                     48,                 1.5834,                0.93564,                 1.1409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019069,              0.0019069,              0.0019069
                     49,                 1.5246,                0.88985,                 1.1244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001905,               0.001905,               0.001905
                     50,                 1.5761,                0.90128,                 1.1266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001903,               0.001903,               0.001903
                     51,                 1.5595,                0.91461,                 1.1347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001901,               0.001901,               0.001901
                     52,                 1.5212,                0.85189,                 1.1236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001899,               0.001899,               0.001899
                     53,                 1.5409,                 0.8697,                 1.1078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001897,               0.001897,               0.001897
                     54,                 1.5469,                0.88956,                 1.1167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.5273,                 0.8583,                 1.1178,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.5328,                  0.878,                 1.1053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018911,              0.0018911,              0.0018911
